$ jstat -gc 108936 1000 1000
 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT
51200.0 51200.0  0.0    0.0   102400.0 83924.3   102400.0    1129.2   4864.0 3997.3 512.0  446.8      16    0.083   0      0.000    0.083
51200.0 51200.0  0.0   10240.0 102400.0 73684.4   102400.0    1129.2   4864.0 3997.3 512.0  446.8      17    0.085   0      0.000    0.085
51200.0 51200.0 10240.0  0.0   102400.0 63444.4   102400.0    1129.2   4864.0 3997.3 512.0  446.8      18    0.088   0      0.000    0.088
51200.0 51200.0  0.0   10240.0 102400.0 53204.4   102400.0    1129.2   4864.0 3997.3 512.0  446.8      19    0.091   0      0.000    0.091
51200.0 51200.0  0.0    0.0   102400.0 42964.4   102400.0    1129.2   4864.0 3997.3 512.0  446.8      20    0.092   0      0.000    0.092
51200.0 51200.0  0.0   10240.0 102400.0 32724.4   102400.0    1129.2   4864.0 3997.3 512.0  446.8      21    0.096   0      0.000    0.096
51200.0 51200.0 20480.0  0.0   102400.0 22484.4   102400.0    1129.2   4864.0 3997.3 512.0  446.8      22    0.103   0      0.000    0.103
51200.0 51200.0  0.0   30720.0 102400.0 10240.0   102400.0    1129.2   4864.0 3997.3 512.0  446.8      23    0.108   0      0.000    0.108
51200.0 51200.0  0.0   30720.0 102400.0 94164.5   102400.0    1129.2   4864.0 3997.3 512.0  446.8      23    0.108   0      0.000    0.108
51200.0 51200.0  0.0    0.0   102400.0 83924.5   102400.0    1129.2   4864.0 3997.3 512.0  446.8      24    0.109   0      0.000    0.109
51200.0 51200.0  0.0   10240.0 102400.0 73684.5   102400.0    1129.2   4864.0 3997.3 512.0  446.8      25    0.113   0      0.000    0.113
51200.0 51200.0 10240.0  0.0   102400.0 63444.5   102400.0    1129.2   4864.0 3997.3 512.0  446.8      26    0.116   0      0.000    0.116
51200.0 51200.0  0.0   10240.0 102400.0 53204.5   102400.0    1129.2   4864.0 3997.3 512.0  446.8      27    0.120   0      0.000    0.120
51200.0 51200.0  0.0    0.0   102400.0 42964.5   102400.0    1129.2   4864.0 3997.3 512.0  446.8      28    0.121   0      0.000    0.121
51200.0 51200.0  0.0   10240.0 102400.0 32724.4   102400.0    1129.2   4864.0 3997.3 512.0  446.8      29    0.125   0      0.000    0.125
51200.0 51200.0 20480.0  0.0   102400.0 22484.4   102400.0    1129.2   4864.0 3997.3 512.0  446.8      30    0.132   0      0.000    0.132
51200.0 51200.0  0.0   30720.0 102400.0 10240.0   102400.0    1129.2   4864.0 3997.3 512.0  446.8      31    0.142   0      0.000    0.142
51200.0 51200.0  0.0   30720.0 102400.0 94164.5   102400.0    1129.2   4864.0 3997.3 512.0  446.8      31    0.142   0      0.000    0.142
51200.0 51200.0  0.0    0.0   102400.0 83924.5   102400.0    1129.2   4864.0 3997.3 512.0  446.8      32    0.143   0      0.000    0.143
51200.0 51200.0  0.0   10240.0 102400.0 73684.5   102400.0    1129.2   4864.0 3997.3 512.0  446.8      33    0.146   0      0.000    0.146
51200.0 51200.0 10240.0  0.0   102400.0 63444.5   102400.0    1129.2   4864.0 3997.3 512.0  446.8      34    0.150   0      0.000    0.150
51200.0 51200.0  0.0   10240.0 102400.0 53204.5   102400.0    1129.2   4864.0 3997.3 512.0  446.8      35    0.154   0      0.000    0.154
51200.0 51200.0  0.0    0.0   102400.0 42964.5   102400.0    1129.2   4864.0 3997.3 512.0  446.8      36    0.154   0      0.000    0.154
51200.0 51200.0  0.0   10240.0 102400.0 32724.4   102400.0    1129.2   4864.0 3997.3 512.0  446.8      37    0.156   0      0.000    0.156
51200.0 51200.0 20480.0  0.0   102400.0 22484.4   102400.0    1129.2   4864.0 3997.3 512.0  446.8      38    0.160   0      0.000    0.160
51200.0 51200.0  0.0   30720.0 102400.0 10240.0   102400.0    1129.2   4864.0 3997.3 512.0  446.8      39    0.166   0      0.000    0.166
51200.0 51200.0  0.0   30720.0 102400.0 10240.0   102400.0    1129.2   4864.0 3997.3 512.0  446.8      39    0.166   0      0.000    0.166
