Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16448576k(6769704k free), swap 33225792k(10969356k free)
CommandLine flags: -XX:InitialHeapSize=314572800 -XX:MaxHeapSize=314572800 -XX:MaxNewSize=209715200 -XX:MaxTenuringThreshold=15 -XX:NewSize=209715200 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=20971520 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=2 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
113.329: [GC (Allocation Failure) 113.330: [ParNew: 124884K->0K(153600K), 0.0009162 secs] 126013K->1129K(256000K), 0.0010500 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
114.347: [GC (Allocation Failure) 114.347: [ParNew: 94164K->10240K(153600K), 0.0036841 secs] 95293K->11369K(256000K), 0.0038250 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
115.367: [GC (Allocation Failure) 115.367: [ParNew: 104404K->10240K(153600K), 0.0035910 secs] 105533K->11369K(256000K), 0.0037864 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
116.383: [GC (Allocation Failure) 116.383: [ParNew: 104404K->10240K(153600K), 0.0036103 secs] 105533K->11369K(256000K), 0.0037564 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
117.400: [GC (Allocation Failure) 117.400: [ParNew: 104404K->0K(153600K), 0.0006592 secs] 105533K->1129K(256000K), 0.0007409 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
118.409: [GC (Allocation Failure) 118.409: [ParNew: 94164K->10240K(153600K), 0.0018419 secs] 95293K->11369K(256000K), 0.0019188 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
119.422: [GC (Allocation Failure) 119.423: [ParNew: 104404K->20480K(153600K), 0.0069277 secs] 105533K->21609K(256000K), 0.0070824 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
120.445: [GC (Allocation Failure) 120.445: [ParNew: 114644K->30720K(153600K), 0.0104417 secs] 115773K->31849K(256000K), 0.0105901 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
122.471: [GC (Allocation Failure) 122.471: [ParNew: 124884K->0K(153600K), 0.0009663 secs] 126013K->1129K(256000K), 0.0011092 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
123.489: [GC (Allocation Failure) 123.489: [ParNew: 94164K->10240K(153600K), 0.0037224 secs] 95293K->11369K(256000K), 0.0038949 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
124.507: [GC (Allocation Failure) 124.507: [ParNew: 104404K->10240K(153600K), 0.0036573 secs] 105533K->11369K(256000K), 0.0038270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
125.526: [GC (Allocation Failure) 125.526: [ParNew: 104404K->10240K(153600K), 0.0035914 secs] 105533K->11369K(256000K), 0.0037354 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
126.546: [GC (Allocation Failure) 126.546: [ParNew: 104404K->0K(153600K), 0.0009008 secs] 105533K->1129K(256000K), 0.0010575 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
127.563: [GC (Allocation Failure) 127.563: [ParNew: 94164K->10240K(153600K), 0.0036521 secs] 95293K->11369K(256000K), 0.0037935 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
128.582: [GC (Allocation Failure) 128.582: [ParNew: 104404K->20480K(153600K), 0.0069155 secs] 105533K->21609K(256000K), 0.0070619 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
129.604: [GC (Allocation Failure) 129.604: [ParNew: 114644K->30720K(153600K), 0.0102127 secs] 115773K->31849K(256000K), 0.0103781 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
131.631: [GC (Allocation Failure) 131.631: [ParNew: 124884K->0K(153600K), 0.0011313 secs] 126013K->1129K(256000K), 0.0012644 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
132.651: [GC (Allocation Failure) 132.652: [ParNew: 94164K->10240K(153600K), 0.0021482 secs] 95293K->11369K(256000K), 0.0022796 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
133.663: [GC (Allocation Failure) 133.663: [ParNew: 104404K->10240K(153600K), 0.0037398 secs] 105533K->11369K(256000K), 0.0039083 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
134.682: [GC (Allocation Failure) 134.682: [ParNew: 104404K->10240K(153600K), 0.0036064 secs] 105533K->11369K(256000K), 0.0037575 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
135.700: [GC (Allocation Failure) 135.700: [ParNew: 104404K->0K(153600K), 0.0009454 secs] 105533K->1129K(256000K), 0.0010725 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
136.716: [GC (Allocation Failure) 136.716: [ParNew: 94164K->10240K(153600K), 0.0035985 secs] 95293K->11369K(256000K), 0.0037449 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
137.730: [GC (Allocation Failure) 137.730: [ParNew: 104404K->20480K(153600K), 0.0033206 secs] 105533K->21609K(256000K), 0.0034090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
138.747: [GC (Allocation Failure) 138.747: [ParNew: 114644K->30720K(153600K), 0.0100990 secs] 115773K->31849K(256000K), 0.0102593 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
140.772: [GC (Allocation Failure) 140.772: [ParNew: 124884K->0K(153600K), 0.0008803 secs] 126013K->1129K(256000K), 0.0010188 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
