$ jstat -gc 120596 1000 1000
 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT
10240.0 10240.0 1689.7  0.0   81920.0  37751.8   102400.0     0.0     4864.0 3996.8 512.0  446.8       4    0.012   0      0.000    0.012
10240.0 10240.0 1689.7  0.0   81920.0  42886.1   102400.0     0.0     4864.0 3996.8 512.0  446.8       4    0.012   0      0.000    0.012
10240.0 10240.0 1689.7  0.0   81920.0  48020.5   102400.0     0.0     4864.0 3996.8 512.0  446.8       4    0.012   0      0.000    0.012
10240.0 10240.0 1689.7  0.0   81920.0  53154.8   102400.0     0.0     4864.0 3996.8 512.0  446.8       4    0.012   0      0.000    0.012
10240.0 10240.0 1689.7  0.0   81920.0  58289.2   102400.0     0.0     4864.0 3996.8 512.0  446.8       4    0.012   0      0.000    0.012
10240.0 10240.0 1689.7  0.0   81920.0  61712.0   102400.0     0.0     4864.0 3996.8 512.0  446.8       4    0.012   0      0.000    0.012
10240.0 10240.0 1689.7  0.0   81920.0  66846.4   102400.0     0.0     4864.0 3996.8 512.0  446.8       4    0.012   0      0.000    0.012
10240.0 10240.0 1689.7  0.0   81920.0  71980.7   102400.0     0.0     4864.0 3996.8 512.0  446.8       4    0.012   0      0.000    0.012
10240.0 10240.0 1689.7  0.0   81920.0  77115.1   102400.0     0.0     4864.0 3996.8 512.0  446.8       4    0.012   0      0.000    0.012
10240.0 10240.0 1689.7  0.0   81920.0  81920.0   102400.0     0.0     4864.0 3996.8 512.0  446.8       4    0.012   0      0.000    0.012
10240.0 10240.0  0.0   1422.9 81920.0   5256.2   102400.0     0.0     4864.0 3996.8 512.0  446.8       5    0.014   0      0.000    0.014
10240.0 10240.0  0.0   1422.9 81920.0  10412.4   102400.0     0.0     4864.0 3996.8 512.0  446.8       5    0.014   0      0.000    0.014
10240.0 10240.0  0.0   1422.9 81920.0  15568.6   102400.0     0.0     4864.0 3996.8 512.0  446.8       5    0.014   0      0.000    0.014
10240.0 10240.0  0.0   1422.9 81920.0  20724.8   102400.0     0.0     4864.0 3996.8 512.0  446.8       5    0.014   0      0.000    0.014
10240.0 10240.0  0.0   1422.9 81920.0  25881.0   102400.0     0.0     4864.0 3996.8 512.0  446.8       5    0.014   0      0.000    0.014
10240.0 10240.0  0.0   1422.9 81920.0  31037.2   102400.0     0.0     4864.0 3996.8 512.0  446.8       5    0.014   0      0.000    0.014
10240.0 10240.0  0.0   1422.9 81920.0  36193.4   102400.0     0.0     4864.0 3996.8 512.0  446.8       5    0.014   0      0.000    0.014
10240.0 10240.0  0.0   1422.9 81920.0  41349.6   102400.0     0.0     4864.0 3996.8 512.0  446.8       5    0.014   0      0.000    0.014
10240.0 10240.0  0.0   1422.9 81920.0  46505.8   102400.0     0.0     4864.0 3996.8 512.0  446.8       5    0.014   0      0.000    0.014
10240.0 10240.0  0.0   1422.9 81920.0  51662.0   102400.0     0.0     4864.0 3996.8 512.0  446.8       5    0.014   0      0.000    0.014
10240.0 10240.0  0.0   1422.9 81920.0  56818.2   102400.0     0.0     4864.0 3996.8 512.0  446.8       5    0.014   0      0.000    0.014
10240.0 10240.0  0.0   1422.9 81920.0  61974.5   102400.0     0.0     4864.0 3996.8 512.0  446.8       5    0.014   0      0.000    0.014
