 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52252.5   4864.0 3996.5 512.0  446.8      58    0.297  28      0.060    0.357
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62492.5   4864.0 3996.5 512.0  446.8      59    0.301  28      0.060    0.361
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31772.5   4864.0 3996.5 512.0  446.8      60    0.302  29      0.062    0.364
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   42012.5   4864.0 3996.5 512.0  446.8      61    0.306  29      0.062    0.368
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52252.5   4864.0 3996.5 512.0  446.8      62    0.308  29      0.062    0.371
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62492.5   4864.0 3996.5 512.0  446.8      63    0.312  29      0.062    0.375
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31772.5   4864.0 3996.5 512.0  446.8      65    0.323  31      0.065    0.389
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52252.5   4864.0 3996.5 512.0  446.8      66    0.331  32      0.066    0.396
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62492.5   4864.0 3996.5 512.0  446.8      67    0.332  32      0.066    0.398
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31772.5   4864.0 3996.5 512.0  446.8      68    0.333  33      0.068    0.401
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   42012.5   4864.0 3996.5 512.0  446.8      69    0.336  33      0.068    0.404
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52252.5   4864.0 3996.5 512.0  446.8      70    0.339  33      0.068    0.408
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62492.5   4864.0 3996.5 512.0  446.8      71    0.343  33      0.068    0.411
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31772.5   4864.0 3996.5 512.0  446.8      73    0.355  35      0.070    0.425
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52252.5   4864.0 3996.5 512.0  446.8      74    0.358  36      0.070    0.428
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62492.5   4864.0 3996.5 512.0  446.8      75    0.362  36      0.070    0.432
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31772.5   4864.0 3996.5 512.0  446.8      76    0.362  37      0.073    0.435
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   42012.5   4864.0 3996.5 512.0  446.8      77    0.364  37      0.073    0.437
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52252.5   4864.0 3996.5 512.0  446.8      78    0.368  37      0.073    0.441
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62492.5   4864.0 3996.5 512.0  446.8      79    0.370  37      0.073    0.443
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31772.5   4864.0 3996.5 512.0  446.8      81    0.376  39      0.075    0.451
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52252.5   4864.0 3996.5 512.0  446.8      82    0.379  40      0.075    0.454
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62492.5   4864.0 3996.5 512.0  446.8      83    0.382  40      0.075    0.457
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31772.5   4864.0 3996.5 512.0  446.8      84    0.383  41      0.078    0.460
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   42012.5   4864.0 3996.5 512.0  446.8      85    0.386  41      0.078    0.464
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52252.5   4864.0 3996.5 512.0  446.8      86    0.390  41      0.078    0.468
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62492.5   4864.0 3996.5 512.0  446.8      87    0.394  41      0.078    0.472
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31772.5   4864.0 3996.5 512.0  446.8      89    0.401  43      0.080    0.481
10240.0 10240.0  0.0    0.0   81920.0    0.0     102400.0   52252.5   4864.0 3996.5 512.0  446.8      90    0.409  44      0.080    0.489
10240.0 10240.0  0.0    0.0   81920.0    0.0     102400.0   62492.5   4864.0 3996.5 512.0  446.8      91    0.412  44      0.080    0.492
10240.0 10240.0  0.0    0.0   81920.0    0.0     102400.0   62492.5   4864.0 3996.5 512.0  446.8      92    0.413  45      0.082    0.494
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31772.5   4864.0 3996.5 512.0  446.8      92    0.413  45      0.082    0.494
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   42012.5   4864.0 3996.5 512.0  446.8      93    0.416  45      0.082    0.498
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52252.5   4864.0 3996.5 512.0  446.8      94    0.420  45      0.082    0.502
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62492.5   4864.0 3996.5 512.0  446.8      95    0.425  45      0.082    0.507
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31772.5   4864.0 3996.5 512.0  446.8      97    0.432  47      0.083    0.515
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52252.5   4864.0 3996.5 512.0  446.8      98    0.436  48      0.083    0.519
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62492.5   4864.0 3996.5 512.0  446.8      99    0.438  48      0.083    0.521
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31772.5   4864.0 3996.5 512.0  446.8     100    0.438  49      0.085    0.523
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   42012.5   4864.0 3996.5 512.0  446.8     101    0.440  49      0.085    0.525
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52252.5   4864.0 3996.5 512.0  446.8     102    0.442  49      0.085    0.527
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62492.5   4864.0 3996.5 512.0  446.8     103    0.446  50      0.086    0.531
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   42012.5   4864.0 3996.5 512.0  446.8     105    0.457  51      0.089    0.546
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   62492.5   4864.0 3996.5 512.0  446.8     106    0.464  52      0.089    0.553
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   31772.5   4864.0 3996.5 512.0  446.8     107    0.468  53      0.092    0.560
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31772.5   4864.0 3996.5 512.0  446.8     108    0.469  53      0.092    0.560
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   42012.5   4864.0 3996.5 512.0  446.8     109    0.470  53      0.092    0.562
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52252.5   4864.0 3996.5 512.0  446.8     110    0.472  53      0.092    0.564
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62492.5   4864.0 3996.5 512.0  446.8     111    0.476  53      0.092    0.568
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31772.5   4864.0 3996.5 512.0  446.8     113    0.487  55      0.094    0.581
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52252.5   4864.0 3996.5 512.0  446.8     114    0.497  56      0.094    0.592
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62492.5   4864.0 3996.5 512.0  446.8     115    0.500  56      0.094    0.594
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31772.5   4864.0 3996.5 512.0  446.8     116    0.500  57      0.096    0.596
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   42012.5   4864.0 3996.5 512.0  446.8     117    0.502  57      0.096    0.598
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52252.5   4864.0 3996.5 512.0  446.8     118    0.506  57      0.096    0.602
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62492.5   4864.0 3996.5 512.0  446.8     119    0.510  57      0.096    0.606
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31772.5   4864.0 3996.5 512.0  446.8     121    0.521  59      0.098    0.618
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52252.5   4864.0 3996.5 512.0  446.8     122    0.524  60      0.098    0.622
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62492.5   4864.0 3996.5 512.0  446.8     123    0.526  60      0.098    0.624
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31772.5   4864.0 3996.5 512.0  446.8     124    0.526  61      0.100    0.626
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   42012.5   4864.0 3996.5 512.0  446.8     125    0.530  61      0.100    0.630
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52252.5   4864.0 3996.5 512.0  446.8     126    0.534  61      0.100    0.634
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62492.5   4864.0 3996.5 512.0  446.8     127    0.538  61      0.100    0.638
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31719.6   4864.0 3996.5 512.0  446.8     129    0.549  63      0.102    0.651
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52199.6   4864.0 3996.5 512.0  446.8     130    0.556  64      0.102    0.658
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62439.7   4864.0 3996.5 512.0  446.8     131    0.558  64      0.102    0.660
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31719.6   4864.0 3996.5 512.0  446.8     132    0.559  65      0.106    0.664
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   41959.6   4864.0 3996.5 512.0  446.8     133    0.562  65      0.106    0.668
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52199.6   4864.0 3996.5 512.0  446.8     134    0.566  65      0.106    0.672
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62439.7   4864.0 3996.5 512.0  446.8     135    0.570  65      0.106    0.676
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31719.6   4864.0 3996.5 512.0  446.8     137    0.582  67      0.109    0.691
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52199.6   4864.0 3996.5 512.0  446.8     138    0.585  68      0.109    0.694
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62439.7   4864.0 3996.5 512.0  446.8     139    0.589  68      0.109    0.698
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31719.6   4864.0 3996.5 512.0  446.8     140    0.590  69      0.112    0.702
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   41959.6   4864.0 3996.5 512.0  446.8     141    0.594  69      0.112    0.706
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52199.6   4864.0 3996.5 512.0  446.8     142    0.596  69      0.112    0.708
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62439.7   4864.0 3996.5 512.0  446.8     143    0.597  69      0.112    0.710
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31719.6   4864.0 3996.5 512.0  446.8     145    0.609  71      0.116    0.724
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52199.6   4864.0 3996.5 512.0  446.8     146    0.616  72      0.116    0.732
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62439.7   4864.0 3996.5 512.0  446.8     147    0.620  72      0.116    0.735
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31719.6   4864.0 3996.5 512.0  446.8     148    0.620  73      0.118    0.738
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   41959.6   4864.0 3996.5 512.0  446.8     149    0.624  73      0.118    0.742
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52199.6   4864.0 3996.5 512.0  446.8     150    0.628  73      0.118    0.746
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62439.7   4864.0 3996.5 512.0  446.8     151    0.630  73      0.118    0.748
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31719.6   4864.0 3996.5 512.0  446.8     153    0.636  75      0.119    0.755
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52199.6   4864.0 3996.5 512.0  446.8     154    0.643  76      0.120    0.762
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62439.7   4864.0 3996.5 512.0  446.8     155    0.646  76      0.120    0.766
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31719.6   4864.0 3996.5 512.0  446.8     156    0.647  77      0.123    0.770
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   41959.6   4864.0 3996.5 512.0  446.8     157    0.651  77      0.123    0.774
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52199.6   4864.0 3996.5 512.0  446.8     158    0.655  77      0.123    0.778
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62439.7   4864.0 3996.5 512.0  446.8     159    0.659  77      0.123    0.782
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   93159.7   4864.0 3996.5 512.0  446.8     161    0.670  79      0.125    0.796
10240.0 10240.0  0.0    0.0   81920.0    0.0     102400.0   52199.6   4864.0 3996.5 512.0  446.8     162    0.677  79      0.125    0.803
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52199.6   4864.0 3996.5 512.0  446.8     162    0.677  80      0.126    0.803
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62439.7   4864.0 3996.5 512.0  446.8     163    0.682  80      0.126    0.807
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31719.6   4864.0 3996.5 512.0  446.8     164    0.682  81      0.129    0.811
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   41959.6   4864.0 3996.5 512.0  446.8     165    0.686  81      0.129    0.815
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52199.6   4864.0 3996.5 512.0  446.8     166    0.688  81      0.129    0.817
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62439.7   4864.0 3996.5 512.0  446.8     167    0.692  81      0.129    0.821
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31719.6   4864.0 3996.5 512.0  446.8     169    0.699  83      0.130    0.830
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52199.6   4864.0 3996.5 512.0  446.8     170    0.706  84      0.131    0.837
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62439.7   4864.0 3996.5 512.0  446.8     171    0.710  84      0.131    0.841
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31719.6   4864.0 3996.5 512.0  446.8     172    0.711  85      0.132    0.843
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   41959.6   4864.0 3996.5 512.0  446.8     173    0.714  85      0.132    0.846
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52199.6   4864.0 3996.5 512.0  446.8     174    0.718  85      0.132    0.850
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62439.7   4864.0 3996.5 512.0  446.8     175    0.720  86      0.132    0.852
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   41959.6   4864.0 3996.5 512.0  446.8     177    0.731  87      0.136    0.867
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   62439.7   4864.0 3996.5 512.0  446.8     178    0.739  88      0.136    0.874
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   72679.7   4864.0 3996.5 512.0  446.8     179    0.742  88      0.136    0.878
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31719.6   4864.0 3996.5 512.0  446.8     180    0.743  89      0.139    0.882
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   41959.6   4864.0 3996.5 512.0  446.8     181    0.746  89      0.139    0.884
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52199.6   4864.0 3996.5 512.0  446.8     182    0.749  89      0.139    0.888
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62439.7   4864.0 3996.5 512.0  446.8     183    0.752  90      0.139    0.890
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   41959.6   4864.0 3996.5 512.0  446.8     185    0.764  91      0.141    0.905
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   62439.7   4864.0 3996.5 512.0  446.8     186    0.767  92      0.141    0.908
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   72679.7   4864.0 3996.5 512.0  446.8     187    0.771  92      0.141    0.912
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31719.6   4864.0 3996.5 512.0  446.8     188    0.772  93      0.143    0.916
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   41959.6   4864.0 3996.5 512.0  446.8     189    0.776  93      0.143    0.919
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52199.6   4864.0 3996.5 512.0  446.8     190    0.780  93      0.143    0.923
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62439.7   4864.0 3996.5 512.0  446.8     191    0.784  94      0.144    0.927
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   41959.6   4864.0 3996.5 512.0  446.8     193    0.795  95      0.147    0.942
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   62439.7   4864.0 3996.5 512.0  446.8     194    0.803  96      0.147    0.950
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   31719.6   4864.0 3996.5 512.0  446.8     195    0.807  97      0.150    0.957
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31719.6   4864.0 3996.5 512.0  446.8     196    0.808  97      0.150    0.957
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   41959.6   4864.0 3996.5 512.0  446.8     197    0.812  97      0.150    0.961
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52199.6   4864.0 3996.5 512.0  446.8     198    0.816  97      0.150    0.965
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62439.7   4864.0 3996.5 512.0  446.8     199    0.820  97      0.150    0.970
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31719.6   4864.0 3996.5 512.0  446.8     201    0.831  99      0.151    0.983
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52199.6   4864.0 3996.5 512.0  446.8     202    0.838  100     0.151    0.989
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62439.7   4864.0 3996.5 512.0  446.8     203    0.842  100     0.151    0.994
